Voltage Range: 1.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: 0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: 5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: 25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Pixel 0 VSet,Pixel 0 V,Pixel 0 mA,Pixel 0 PCE,Pixel 1 VSet,Pixel 1 V,Pixel 1 mA,Pixel 1 PCE,Pixel 2 VSet,Pixel 2 V,Pixel  mA,Pixel 2 PCE,Pixel 3 VSet,Pixel 3 V,Pixel 3 mA,Pixel 3 PCE,Pixel 4 VSet,Pixel 4 V,Pixel 4 mA,Pixel 4 PCE,Pixel 5 VSet,Pixel 5 V,Pixel 5 mA,Pixel 5 PCE,Pixel 6 VSet,Pixel 6 V,Pixel 6 mA,Pixel 6 PCE,Pixel 7 VSet,Pixel 7 V,Pixel 7 mA,Pixel 7 PCE,Time
0.03, 0.0534, -2.4000, 0.0100, 0.03, 0.0502, -2.3400, 0.0092, 0.03, 0.0557, -2.5400, 0.0111, 0.03, 0.0494, -2.4000, 0.0093, 0.03, -409.5466, ovf, 0.0103, 0.03, 0.1395, -0.1206, 0.0000, 0.03, 0.1650, -2.5784, 0.0103, 0.03, ovf, ovf, 0.0097, 4.3360
0.06, 0.0624, -2.9000, 0.0098, 0.06, 0.0578, -2.8080, 0.0087, 0.06, 0.0629, -3.0080, 0.0101, 0.06, 0.0576, -2.8600, 0.0089, 0.06, -81.8576, ovf, 0.0096, 0.06, 0.0647, -0.1041, 0.0002, 0.06, 0.0831, -3.0957, 0.0101, 0.06, ovf, ovf, 0.0091, 8.6320
0.09, 0.0762, -2.9800, 0.0120, 0.09, 0.0689, -2.9016, 0.0105, 0.09, 0.0795, -3.1016, 0.0131, 0.09, 0.0745, -2.9520, 0.0117, 0.09, -16.3086, ovf, 0.0118, 0.09, 0.0801, -0.1208, 0.0005, 0.09, 0.0884, -3.1791, 0.0143, 0.09, ovf, ovf, 0.0141, 12.9280
0.12, 0.1078, -2.9560, 0.0171, 0.12, 0.1016, -2.9203, 0.0160, 0.12, 0.1133, -3.1203, 0.0190, 0.12, 0.1091, -2.9504, 0.0174, 0.12, -3.1700, 879609344.0000, 0.0171, 0.12, 0.1120, -0.1242, 0.0007, 0.12, 0.1174, -3.1958, 0.0199, 0.12, ovf, ovf, 0.0197, 17.2250
0.15, 0.1453, -2.9112, 0.0224, 0.15, 0.1377, -2.8841, 0.0211, 0.15, 0.1504, -3.1241, 0.0250, 0.15, 0.1456, -2.9501, 0.0228, 0.15, -0.5118, 175921872.0000, 0.0223, 0.15, 0.1488, -0.0848, 0.0006, 0.15, 0.1536, -3.1992, 0.0260, 0.15, ovf, ovf, 0.0250, 21.5220
0.18, 0.1816, -2.8822, 0.0274, 0.18, 0.1777, -2.8768, 0.0270, 0.18, 0.1866, -3.0648, 0.0298, 0.18, 0.1817, -2.9300, 0.0279, 0.18, 0.0502, 35184376.0000, 0.0274, 0.18, 0.1858, -0.0970, 0.0010, 0.18, 0.1905, -3.1398, 0.0312, 0.18, ovf, ovf, 0.0307, 25.8200
0.21, 0.2193, -2.8564, 0.0326, 0.21, 0.2153, -2.8154, 0.0315, 0.21, 0.2251, -3.0730, 0.0361, 0.21, 0.2201, -2.9260, 0.0336, 0.21, 0.1898, 7036871.0000, 0.0323, 0.21, 0.2235, -0.1194, 0.0015, 0.21, 0.2282, -3.1080, 0.0368, 0.21, ovf, 3006883072.0000, 0.0364, 30.1180
0.24, 0.2556, -2.7913, 0.0367, 0.24, 0.2516, -2.7831, 0.0362, 0.24, 0.2624, -3.0346, 0.0411, 0.24, 0.2558, -2.9052, 0.0384, 0.24, 0.2497, 1407371.7500, 0.0384, 0.24, 0.2607, -0.1039, 0.0013, 0.24, 0.2654, -3.1416, 0.0433, 0.24, ovf, 601376640.0000, 0.0402, 34.4160
0.27, 0.2925, -2.7183, 0.0407, 0.27, 0.2893, -2.7566, 0.0411, 0.27, 0.3002, -3.0069, 0.0465, 0.27, 0.2949, -2.8610, 0.0434, 0.27, 0.2897, 281472.0937, 0.0431, 0.27, 0.2961, -0.0808, 0.0011, 0.27, 0.3016, -3.1083, 0.0482, 0.27, ovf, 120275328.0000, 0.0460, 38.7150
0.30, 0.3303, -2.6837, 0.0454, 0.30, 0.3256, -2.7713, 0.0464, 0.30, 0.3358, -3.0214, 0.0521, 0.30, 0.3308, -2.8522, 0.0484, 0.30, 0.3289, 56292.1328, 0.0483, 0.27, 0.3352, -0.0962, 0.0017, 0.30, 0.3401, -3.1017, 0.0542, 0.30, -894015488.0000, 24055066.0000, 0.0510, 43.0140
0.33, 0.3674, -2.6167, 0.0490, 0.33, 0.3633, -2.7543, 0.0513, 0.33, 0.3749, -3.0043, 0.0577, 0.33, 0.3699, -2.8504, 0.0541, 0.33, 0.3664, 11256.1865, 0.0526, 0.27, 0.3414, -0.0992, 0.0017, 0.33, 0.3758, -3.1003, 0.0596, 0.33, -178803104.0000, 4811011.0000, 0.0565, 47.3120
0.36, 0.4053, -2.5433, 0.0524, 0.36, 0.4004, -2.6909, 0.0548, 0.36, 0.4107, -2.9609, 0.0619, 0.36, 0.4066, -2.8301, 0.0587, 0.36, 0.4035, 2248.9973, 0.0578, 0.30, 0.3427, -0.0998, 0.0017, 0.36, 0.4141, -3.1201, 0.0662, 0.36, -35760620.0000, 962199.8125, 0.0612, 51.6120
0.39, 0.4409, -2.5087, 0.0562, 0.39, 0.4383, -2.6382, 0.0588, 0.39, 0.4499, -2.9322, 0.0672, 0.39, 0.4451, -2.8060, 0.0637, 0.39, 0.4405, 447.5995, 0.0618, 0.30, 0.3725, -0.1200, 0.0024, 0.39, 0.4506, -3.1040, 0.0713, 0.39, -7152124.0000, 192437.6718, 0.0662, 55.9110
0.42, 0.4800, -2.4217, 0.0588, 0.42, 0.4754, -2.5876, 0.0624, 0.42, 0.4865, -2.9264, 0.0725, 0.42, 0.4848, -2.8012, 0.0693, 0.42, 0.4775, 87.3399, 0.0663, 0.33, 0.3785, -0.1040, 0.0019, 0.42, 0.4899, -3.0408, 0.0756, 0.42, -1430424.2500, 38485.2734, 0.0710, 60.2100
0.45, 0.5190, -2.3643, 0.0621, 0.45, 0.5157, -2.5175, 0.0657, 0.45, 0.5251, -2.8853, 0.0769, 0.45, 0.5239, -2.7602, 0.0734, 0.45, 0.5153, 15.3280, 0.0702, 0.36, 0.4085, -0.1008, 0.0021, 0.45, 0.5257, -3.0082, 0.0802, 0.45, -286084.4687, 7694.7539, 0.0783, 64.5080
0.48, 0.5556, -2.2729, 0.0635, 0.48, 0.5525, -2.5035, 0.0702, 0.48, 0.5616, -2.8771, 0.0820, 0.48, 0.5606, -2.7520, 0.0783, 0.48, 0.5532, 0.9656, 0.0739, 0.39, 0.4457, -0.0602, 0.0011, 0.48, 0.5641, -3.0016, 0.0861, 0.48, -57216.4257, 1536.7106, 0.0812, 68.8070
0.51, 0.5917, -2.2346, 0.0668, 0.51, 0.5903, -2.4207, 0.0720, 0.51, 0.6001, -2.8954, 0.0884, 0.51, 0.5983, -2.7104, 0.0820, 0.51, 0.5904, -1.8869, 0.0780, 0.39, 0.4835, -0.1120, 0.0031, 0.51, 0.6006, -3.0003, 0.0915, 0.51, -11442.7919, 305.1222, 0.0854, 73.1050
0.51, 0.6294, -2.1469, 0.0679, 0.54, 0.6267, -2.3841, 0.0755, 0.54, 0.6366, -2.8191, 0.0904, 0.54, 0.6346, -2.7421, 0.0885, 0.54, 0.6283, -2.4374, 0.0821, 0.39, 0.4911, -0.0824, 0.0018, 0.54, 0.6399, -2.9601, 0.0958, 0.54, -2288.0380, 58.8044, 0.0903, 77.4040
0.51, 0.6361, -2.1094, 0.0670, 0.57, 0.6652, -2.2568, 0.0751, 0.57, 0.6751, -2.7638, 0.0941, 0.57, 0.6715, -2.7284, 0.0928, 0.57, 0.6655, -2.4675, 0.0835, 0.36, 0.4934, -0.0965, 0.0025, 0.57, 0.6765, -2.9320, 0.1003, 0.57, -457.0551, 9.5609, 0.0950, 81.7010
0.51, 0.6383, -2.1219, 0.0679, 0.57, 0.7041, -2.1714, 0.0767, 0.60, 0.7108, -2.7528, 0.0990, 0.60, 0.7101, -2.6457, 0.0945, 0.60, 0.7049, -2.4135, 0.0858, 0.36, 0.4627, -0.1193, 0.0028, 0.60, 0.7151, -2.8864, 0.1042, 0.60, -90.8304, -0.2678, 0.0989, 86.0000
0.54, 0.6395, -2.1044, 0.0672, 0.57, 0.7118, -2.1943, 0.0785, 0.63, 0.7483, -2.7506, 0.1042, 0.60, 0.7466, -2.6091, 0.0982, 0.63, 0.7408, -2.3827, 0.0890, 0.36, 0.4565, -0.1239, 0.0028, 0.63, 0.7508, -2.8773, 0.1092, 0.63, -17.5551, -2.2336, 0.1041, 90.2990
0.54, 0.6685, -2.0409, 0.0684, 0.57, 0.7126, -2.1589, 0.0766, 0.63, 0.7847, -2.7501, 0.1091, 0.63, 0.7531, -2.6218, 0.0991, 0.66, 0.7768, -2.2965, 0.0894, 0.36, 0.4545, -0.1248, 0.0028, 0.66, 0.7891, -2.8555, 0.1138, 0.66, -2.8712, -2.5667, 0.1060, 94.5970
0.54, 0.6735, -2.0082, 0.0675, 0.57, 0.7143, -2.1918, 0.0786, 0.66, 0.7919, -2.7300, 0.1081, 0.63, 0.7856, -2.5644, 0.1012, 0.66, 0.8152, -2.2793, 0.0938, 0.39, 0.4549, -0.1250, 0.0028, 0.69, 0.8256, -2.8111, 0.1169, 0.69, 0.0951, -2.6133, 0.1098, 98.8950
0.54, 0.6746, -2.0016, 0.0675, 0.57, 0.7123, -2.1384, 0.0756, 0.66, 0.8230, -2.6660, 0.1101, 0.63, 0.7921, -2.5729, 0.1022, 0.66, 0.8221, -2.2559, 0.0927, 0.42, 0.4838, -0.1050, 0.0025, 0.72, 0.8649, -2.7622, 0.1203, 0.72, 0.7188, -2.5827, 0.1126, 103.1930
0.54, 0.6748, -1.9803, 0.0666, 0.57, 0.7135, -2.1677, 0.0776, 0.66, 0.8284, -2.6932, 0.1120, 0.63, 0.7934, -2.5946, 0.1032, 0.66, 0.8234, -2.2712, 0.0937, 0.45, 0.5215, -0.1010, 0.0027, 0.72, 0.9008, -2.6924, 0.1217, 0.72, 0.8724, -2.5765, 0.1173, 107.4920
0.51, 0.6756, -1.9161, 0.0642, 0.57, 0.7145, -2.1935, 0.0786, 0.66, 0.8295, -2.6986, 0.1120, 0.63, 0.7929, -2.6189, 0.1040, 0.66, 0.8245, -2.2542, 0.0928, 0.48, 0.5603, -0.0802, 0.0021, 0.72, 0.9079, -2.7185, 0.1240, 0.72, 0.9047, -2.5753, 0.1175, 111.7900
0.51, 0.6470, -2.0832, 0.0680, 0.57, 0.7131, -2.1787, 0.0775, 0.66, 0.8313, -2.7197, 0.1133, 0.63, 0.7944, -2.6238, 0.1043, 0.66, 0.8247, -2.2508, 0.0928, 0.51, 0.5961, -0.0960, 0.0030, 0.72, 0.9094, -2.7237, 0.1240, 0.72, 0.9111, -2.5951, 0.1187, 116.0880
0.54, 0.6412, -2.1166, 0.0680, 0.57, 0.7128, -2.1957, 0.0784, 0.66, 0.8300, -2.7039, 0.1120, 0.63, 0.7947, -2.6248, 0.1043, 0.66, 0.8248, -2.2502, 0.0928, 0.54, 0.6352, -0.0792, 0.0024, 0.72, 0.9105, -2.7447, 0.1252, 0.72, 0.9132, -2.6190, 0.1199, 120.3860
